"Lp.","Zawodnik","Drużyna","Mecze","Asysty suma","Asysty śr."
"1","Maurice Watson","Twarde Pierniki Toruń ","7","71","10.1"
"2","Branden Frazier","Enea Zastal BC Zielona Góra ","7","63","9"
"3","Jakub Schenk","King Szczecin ","7","55","7.9"
"4","Jabarie Hinds","GTK Gliwice ","7","48","6.9"
"5","Erick Neal","PGE Spójnia Stargard ","7","47","6.7"
"6","Marek Klassen","Grupa Sierleccy Czarni Słupsk ","7","47","6.7"
"7","Anthony Ireland","HydroTruck Radom ","7","46","6.6"
"8","Yannick Franke","Trefl Sopot ","7","41","5.9"
"9","Łukasz Koszarek","Legia Warszawa ","6","39","6.5"
"10","Strahinja Jovanović","WKS Śląsk Wrocław ","8","38","4.8"
"11","James Florence","Arged BM Stal Ostrów Wlkp. ","7","37","5.3"
"12","Kamil Łączyński","Anwil Włocławek ","7","35","5"
"13","Novak Musić","Asseco Arka Gdynia ","6","32","5.3"
"14","Filip Matczak","King Szczecin ","7","31","4.4"
"15","Joshua Sharkey","Polski Cukier Pszczółka Start Lublin ","7","30","4.3"
"16","Dominykas Domarkas","Enea Abramczyk Astoria Bydgoszcz ","7","29","4.1"
"17","A.j. English","HydroTruck Radom ","7","28","4"
"18","Łukasz Kolenda","WKS Śląsk Wrocław ","8","28","3.5"
"19","Paweł Dzierżak","HydroTruck Radom ","8","27","3.4"
"20","Mateusz Szlachetka","Trefl Sopot ","7","26","3.7"
"21","Nicolas Moore","MKS Dąbrowa Górnicza ","7","25","3.6"
"22","Tomasz Śnieg","PGE Spójnia Stargard ","7","24","3.4"
"23","Doron Lamb","Polski Cukier Pszczółka Start Lublin ","7","24","3.4"
"24","Michael Young","Arged BM Stal Ostrów Wlkp. ","7","24","3.4"
"25","William Garrett","Grupa Sierleccy Czarni Słupsk ","7","23","3.3"
"26","James Palmer Jr.","Arged BM Stal Ostrów Wlkp. ","7","23","3.3"
"27","Andrzej Pluta","Enea Abramczyk Astoria Bydgoszcz ","7","21","3"
"28","Michael Lewis II","MKS Dąbrowa Górnicza ","7","20","2.9"
"29","Kodi Justice","WKS Śląsk Wrocław ","8","20","2.5"
"30","Tweety Carter","Polski Cukier Pszczółka Start Lublin ","7","20","2.9"
"31","Evangelos Mantzaris","Arged BM Stal Ostrów Wlkp. ","4","20","5"
"32","Devoe Joseph","Enea Zastal BC Zielona Góra ","7","19","2.7"
"33","Muhammad-Ali Abdur-Rahkman","Legia Warszawa ","6","19","3.2"
