Lp.,Zawodnik,Drużyna,Mecze,Bloki suma,Bloki śr,Bloki otrzymane suma,Bloki otrzymane śr
1,Joshua Sharma,Trefl Sopot ,7,21,3,3,0.43
2,Filip Kraljević,HydroTruck Radom ,7,17,2.43,2,0.29
3,Klavs Čavars,Enea Abramczyk Astoria Bydgoszcz ,7,13,1.86,4,0.57
4,Cyril Langevine,WKS Śląsk Wrocław ,8,9,1.13,6,0.75
5,Kavell Bigby-Williams,Anwil Włocławek ,7,9,1.29,2,0.29
6,Adam Ramstedt,GTK Gliwice ,7,8,1.14,1,0.14
7,Kalif Young,Grupa Sierleccy Czarni Słupsk ,7,8,1.14,2,0.29
8,Jimmie Taylor,Polski Cukier Pszczółka Start Lublin ,7,7,1,2,0.29
9,Luke Petrasek,Anwil Włocławek ,7,7,1,3,0.43
10,Dariusz Wyka,Legia Warszawa ,6,7,1.17,0,0
11,Denzel Andersson,Arged BM Stal Ostrów Wlkp. ,7,7,1,3,0.43
12,Stacy Davis,King Szczecin ,7,7,1,8,1.14
13,Justin Gray,PGE Spójnia Stargard ,7,6,0.86,1,0.14
14,Alan Herndon,Enea Abramczyk Astoria Bydgoszcz ,7,6,0.86,2,0.29
15,Markus Lončar,Enea Abramczyk Astoria Bydgoszcz ,6,6,1,1,0.17
16,Adam Kemp,Legia Warszawa ,6,6,1,1,0.17
17,Damian Kulig,Arged BM Stal Ostrów Wlkp. ,7,5,0.71,1,0.14
18,Piotr Niedźwiedzki,PGE Spójnia Stargard ,6,5,0.83,2,0.33
19,Trevor Thompson ,Twarde Pierniki Toruń ,7,5,0.71,4,0.57
20,Josip Sobin,MKS Dąbrowa Górnicza ,7,5,0.71,1,0.14
21,Mikołaj Witliński,Grupa Sierleccy Czarni Słupsk ,7,4,0.57,3,0.43
22,Filip Put,GTK Gliwice ,7,4,0.57,1,0.14
23,Mateusz Dziemba,Polski Cukier Pszczółka Start Lublin ,7,4,0.57,1,0.14
24,Szymon Janczak,Twarde Pierniki Toruń ,7,4,0.57,0,0
25,Kerem Kanter,WKS Śląsk Wrocław ,8,4,0.5,2,0.25
26,Dragan Apić,Enea Zastal BC Zielona Góra ,7,4,0.57,4,0.57
27,Darious Moten,Trefl Sopot ,7,4,0.57,1,0.14
28,James Palmer Jr.,Arged BM Stal Ostrów Wlkp. ,7,4,0.57,5,0.71
29,Jonas Zohore,PGE Spójnia Stargard ,7,4,0.57,3,0.43
30,Lewis Beech Iii,Grupa Sierleccy Czarni Słupsk ,7,3,0.43,0,0
31,Mateusz Bartosz,King Szczecin ,5,3,0.6,1,0.2
32,Michał Kołodziej,Twarde Pierniki Toruń ,7,3,0.43,0,0
33,Jakub Karolak,WKS Śląsk Wrocław ,7,3,0.43,1,0.14
34,Michael Moore,HydroTruck Radom ,8,3,0.38,6,0.75
35,Aleksander Dziewa,WKS Śląsk Wrocław ,8,3,0.38,0,0
36,Adrian Bogucki,Asseco Arka Gdynia ,6,3,0.5,3,0.5
37,Kyndall Dykes,Anwil Włocławek ,7,3,0.43,1,0.14
38,Ivan Ramljak,WKS Śląsk Wrocław ,6,3,0.5,0,0
39,Michał Samsonowicz,Twarde Pierniki Toruń ,7,2,0.29,2,0.29
40,Roberts Stumbris,GTK Gliwice ,7,2,0.29,1,0.14
41,Paweł Leończyk,Trefl Sopot ,7,2,0.29,2,0.29
42,Jabarie Hinds,GTK Gliwice ,7,2,0.29,7,1
43,Danilo Ostojić,HydroTruck Radom ,8,2,0.25,3,0.38
44,Jake O'brien,PGE Spójnia Stargard ,7,2,0.29,1,0.14
45,William Garrett,Grupa Sierleccy Czarni Słupsk ,7,2,0.29,4,0.57
46,Raymond Cowels III,Legia Warszawa ,6,2,0.33,2,0.33
47,Michael Lewis II,MKS Dąbrowa Górnicza ,7,2,0.29,3,0.43
48,Kodi Justice,WKS Śląsk Wrocław ,8,2,0.25,1,0.13
49,Szymon Szymański,GTK Gliwice ,4,2,0.5,0,0
50,Kacper Borowski,King Szczecin ,7,2,0.29,1,0.14
51,A.j. English,HydroTruck Radom ,7,2,0.29,3,0.43
52,Erick Neal,PGE Spójnia Stargard ,7,2,0.29,0,0
53,Mateusz Zębski,Enea Abramczyk Astoria Bydgoszcz ,7,2,0.29,3,0.43
54,Sherron Dorsey-Walker,King Szczecin ,7,2,0.29,0,0
55,Adam Hrycaniuk,Asseco Arka Gdynia ,6,2,0.33,6,1
56,Matthew Williams,GTK Gliwice ,7,2,0.29,0,0
57,Roman Szymański,Polski Cukier Pszczółka Start Lublin ,7,2,0.29,4,0.57
58,Tony Meier,Enea Zastal BC Zielona Góra ,6,2,0.33,2,0.33
59,Jakub Motylewski,MKS Dąbrowa Górnicza ,5,2,0.4,1,0.2
60,Wojciech Tomaszewski,Asseco Arka Gdynia ,6,1,0.17,0,0
61,Quenton De Cosey,Polski Cukier Pszczółka Start Lublin ,7,1,0.14,3,0.43
62,Michał Nowakowski,MKS Dąbrowa Górnicza ,7,1,0.14,1,0.14
63,Jure Škifić,Legia Warszawa ,6,1,0.17,2,0.33
64,Derrick Fenner Jr,MKS Dąbrowa Górnicza ,4,1,0.25,5,1.25
65,Aaron Cel,Twarde Pierniki Toruń ,7,1,0.14,0,0
66,Grzegorz Kulka,Legia Warszawa ,6,1,0.17,3,0.5
67,Mateusz Kostrzewski,Polski Cukier Pszczółka Start Lublin ,7,1,0.14,5,0.71
68,Adam Brenk,MKS Dąbrowa Górnicza ,7,1,0.14,2,0.29
69,Filip Dylewicz,Asseco Arka Gdynia ,4,1,0.25,1,0.25
70,Kacper Młynarski,PGE Spójnia Stargard ,7,1,0.14,1,0.14
71,Bartosz Diduszko,Twarde Pierniki Toruń ,7,1,0.14,3,0.43
72,Andrzej Mazurczak,Enea Zastal BC Zielona Góra ,7,1,0.14,2,0.29
73,Jacobi Boykins,PGE Spójnia Stargard ,6,1,0.17,2,0.33
74,Nemanja Nenadić,Enea Zastal BC Zielona Góra ,6,1,0.17,1,0.17
75,Damian Jeszke,Polski Cukier Pszczółka Start Lublin ,6,1,0.17,2,0.33
76,Jarosław Mokros,Arged BM Stal Ostrów Wlkp. ,7,1,0.14,0,0
77,Keyshawn Woods,GTK Gliwice ,5,1,0.2,1,0.2
78,Dominik Wilczek,Asseco Arka Gdynia ,6,1,0.17,2,0.33
79,Dawid Słupiński,Grupa Sierleccy Czarni Słupsk ,7,1,0.14,2,0.29
80,Devoe Joseph,Enea Zastal BC Zielona Góra ,7,1,0.14,0,0
81,DeAndre Davis,Trefl Sopot ,4,1,0.25,0,0
82,Alex Olesinski,Anwil Włocławek ,7,1,0.14,0,0
83,Łukasz Koszarek,Legia Warszawa ,6,1,0.17,1,0.17
84,Filip Matczak,King Szczecin ,7,1,0.14,0,0
85,James Bell,Anwil Włocławek ,7,1,0.14,2,0.29
86,Aleksander Lewandowski,HydroTruck Radom ,8,0,0,0,0
