Lp.,Zawodnik,Drużyna,Mecze,Czas gry suma,Czas gry śr.
1,Michael Moore,HydroTruck Radom ,8,261:07,32:38
2,William Garrett,Grupa Sierleccy Czarni Słupsk ,7,243:15,34:45
3,Marek Klassen,Grupa Sierleccy Czarni Słupsk ,7,239:11,34:10
4,Maurice Watson,Twarde Pierniki Toruń ,7,237:39,33:57
5,A.j. English,HydroTruck Radom ,7,233:16,33:19
6,Jabarie Hinds,GTK Gliwice ,7,233:02,33:17
7,Sherron Dorsey-Walker,King Szczecin ,7,231:07,33:01
8,Stacy Davis,King Szczecin ,7,228:15,32:36
9,Roberts Stumbris,GTK Gliwice ,7,222:55,31:51
10,Justin Gray,PGE Spójnia Stargard ,7,221:01,31:34
11,Strahinja Jovanović,WKS Śląsk Wrocław ,8,221:00,27:38
12,Luke Petrasek,Anwil Włocławek ,7,218:24,31:12
13,Jarosław Zyskowski,Enea Zastal BC Zielona Góra ,7,217:20,31:03
14,Yannick Franke,Trefl Sopot ,7,216:33,30:56
15,Filip Matczak,King Szczecin ,7,216:18,30:54
16,Kerem Kanter,WKS Śląsk Wrocław ,8,213:52,26:44
17,James Palmer Jr.,Arged BM Stal Ostrów Wlkp. ,7,213:18,30:28
18,Aaron Cel,Twarde Pierniki Toruń ,7,211:47,30:15
19,Kyndall Dykes,Anwil Włocławek ,7,211:39,30:14
20,James Bell,Anwil Włocławek ,7,210:39,30:06
21,Jakub Schenk,King Szczecin ,7,209:34,29:56
22,Erick Neal,PGE Spójnia Stargard ,7,208:04,29:43
23,Kodi Justice,WKS Śląsk Wrocław ,8,207:22,25:55
24,Devoe Joseph,Enea Zastal BC Zielona Góra ,7,206:52,29:33
25,Michael Young,Arged BM Stal Ostrów Wlkp. ,7,205:17,29:20
26,Tweety Carter,Polski Cukier Pszczółka Start Lublin ,7,204:57,29:17
27,Doron Lamb,Polski Cukier Pszczółka Start Lublin ,7,203:47,29:07
28,Anthony Ireland,HydroTruck Radom ,7,202:11,28:53
29,Branden Frazier,Enea Zastal BC Zielona Góra ,7,201:52,28:50
30,Danilo Ostojić,HydroTruck Radom ,8,201:51,25:14
31,Lewis Beech Iii,Grupa Sierleccy Czarni Słupsk ,7,201:30,28:47
32,Matthew Williams,GTK Gliwice ,7,201:29,28:47
33,James Eads III,Twarde Pierniki Toruń ,7,200:22,28:37
34,Bartłomiej Wołoszyn,Asseco Arka Gdynia ,6,194:51,32:29
