"Lp.","Zawodnik","Drużyna","Mecze","Faule suma","Faule śr.","Faule wymuszone suma","Faule wymuszone śr."
"1","Joshua Sharma","Trefl Sopot ","7","27","3.86","16","2.29"
"2","Jakub Schenk","King Szczecin ","7","27","3.86","28","4"
"3","Dragan Apić","Enea Zastal BC Zielona Góra ","7","26","3.71","44","6.29"
"4","Novak Musić","Asseco Arka Gdynia ","6","25","4.17","27","4.5"
"5","Adam Ramstedt","GTK Gliwice ","7","25","3.57","17","2.43"
"6","Bartosz Diduszko","Twarde Pierniki Toruń ","7","25","3.57","9","1.29"
"7","Kodi Justice","WKS Śląsk Wrocław ","8","24","3","15","1.88"
"8","Djoko Šalić","King Szczecin ","7","24","3.43","11","1.57"
"9","Kacper Borowski","King Szczecin ","7","23","3.29","16","2.29"
"10","Justin Gray","PGE Spójnia Stargard ","7","23","3.29","30","4.29"
"11","Kamil Łączyński","Anwil Włocławek ","7","23","3.29","16","2.29"
"12","Tweety Carter","Polski Cukier Pszczółka Start Lublin ","7","23","3.29","17","2.43"
"13","Jimmie Taylor","Polski Cukier Pszczółka Start Lublin ","7","22","3.14","29","4.14"
"14","Michael Moore","HydroTruck Radom ","8","22","2.75","22","2.75"
"15","Dominykas Domarkas","Enea Abramczyk Astoria Bydgoszcz ","7","22","3.14","19","2.71"
"16","Kalif Young","Grupa Sierleccy Czarni Słupsk ","7","22","3.14","15","2.14"
"17","Roman Szymański","Polski Cukier Pszczółka Start Lublin ","7","22","3.14","8","1.14"
"18","Jakub Musiał","Grupa Sierleccy Czarni Słupsk ","7","22","3.14","12","1.71"
"19","Aleksander Dziewa","WKS Śląsk Wrocław ","8","21","2.63","20","2.5"
"20","Bartłomiej Wołoszyn","Asseco Arka Gdynia ","6","21","3.5","17","2.83"
"21","Trevor Thompson ","Twarde Pierniki Toruń ","7","21","3","21","3"
"22","James Bell","Anwil Włocławek ","7","21","3","12","1.71"
"23","James Eads III","Twarde Pierniki Toruń ","7","20","2.86","23","3.29"
"24","Mateusz Kostrzewski","Polski Cukier Pszczółka Start Lublin ","7","20","2.86","20","2.86"
"25","Kavell Bigby-Williams","Anwil Włocławek ","7","20","2.86","11","1.57"
"26","Nicolas Moore","MKS Dąbrowa Górnicza ","7","20","2.86","25","3.57"
"27","James Palmer Jr.","Arged BM Stal Ostrów Wlkp. ","7","20","2.86","29","4.14"
"28","James Florence","Arged BM Stal Ostrów Wlkp. ","7","20","2.86","16","2.29"
"29","Filip Matczak","King Szczecin ","7","20","2.86","23","3.29"
"30","Lewis Beech Iii","Grupa Sierleccy Czarni Słupsk ","7","19","2.71","19","2.71"
"31","Josip Sobin","MKS Dąbrowa Górnicza ","7","19","2.71","15","2.14"
"32","Kerem Kanter","WKS Śląsk Wrocław ","8","19","2.38","16","2"
"33","Matthew Williams","GTK Gliwice ","7","19","2.71","6","0.86"
"34","A.j. English","HydroTruck Radom ","7","18","2.57","36","5.14"
"35","Luke Petrasek","Anwil Włocławek ","7","18","2.57","22","3.14"
"36","Michał Nowakowski","MKS Dąbrowa Górnicza ","7","18","2.57","9","1.29"
"37","Roberts Stumbris","GTK Gliwice ","7","18","2.57","17","2.43"
"38","Mateusz Szlachetka","Trefl Sopot ","7","18","2.57","15","2.14"
"39","Danilo Ostojić","HydroTruck Radom ","8","18","2.25","24","3"
"40","Erick Neal","PGE Spójnia Stargard ","7","18","2.57","41","5.86"
"41","Maurice Watson","Twarde Pierniki Toruń ","7","18","2.57","33","4.71"
"42","Joshua Sharkey","Polski Cukier Pszczółka Start Lublin ","7","18","2.57","35","5"
"43","Jacobi Boykins","PGE Spójnia Stargard ","6","17","2.83","7","1.17"
"44","Mateusz Zębski","Enea Abramczyk Astoria Bydgoszcz ","7","17","2.43","8","1.14"
"45","Jake O'brien","PGE Spójnia Stargard ","7","17","2.43","12","1.71"
"46","Jarosław Zyskowski","Enea Zastal BC Zielona Góra ","7","17","2.43","14","2"
"47","Adrian Bogucki","Asseco Arka Gdynia ","6","17","2.83","9","1.5"
"48","Marek Klassen","Grupa Sierleccy Czarni Słupsk ","7","17","2.43","28","4"
"49","Milivoje Mijović","MKS Dąbrowa Górnicza ","7","17","2.43","21","3"
"50","Yannick Franke","Trefl Sopot ","7","17","2.43","22","3.14"
"51","Raymond Cowels III","Legia Warszawa ","6","17","2.83","10","1.67"
"52","Kacper Młynarski","PGE Spójnia Stargard ","7","17","2.43","14","2"
"53","Keyshawn Woods","GTK Gliwice ","5","16","3.2","11","2.2"
"54","Michał Samsonowicz","Twarde Pierniki Toruń ","7","16","2.29","6","0.86"
"55","Sherron Dorsey-Walker","King Szczecin ","7","16","2.29","30","4.29"
"56","Kyndall Dykes","Anwil Włocławek ","7","16","2.29","24","3.43"
"57","Adam Kemp","Legia Warszawa ","6","16","2.67","16","2.67"
"58","Krzysztof Sulima","Enea Zastal BC Zielona Góra ","7","16","2.29","15","2.14"
"59","Daniel Szymkiewicz","PGE Spójnia Stargard ","6","16","2.67","10","1.67"
"60","Andrzej Mazurczak","Enea Zastal BC Zielona Góra ","7","16","2.29","3","0.43"
"61","Jarosław Mokros","Arged BM Stal Ostrów Wlkp. ","7","15","2.14","8","1.14"
"62","Michał Kolenda","Trefl Sopot ","7","15","2.14","9","1.29"
"63","Filip Zegzuła","HydroTruck Radom ","8","15","1.88","18","2.25"
"64","Paweł Kikowski","King Szczecin ","7","15","2.14","8","1.14"
"65","Tomasz Śnieg","PGE Spójnia Stargard ","7","15","2.14","11","1.57"
"66","Tony Meier","Enea Zastal BC Zielona Góra ","6","15","2.5","4","0.67"
"67","Aleksander Lewandowski","HydroTruck Radom ","8","15","1.88","13","1.63"
"68","Darious Moten","Trefl Sopot ","7","15","2.14","15","2.14"
"69","William Garrett","Grupa Sierleccy Czarni Słupsk ","7","15","2.14","42","6"
"70","Filip Małgorzaciak","MKS Dąbrowa Górnicza ","7","15","2.14","6","0.86"
"71","Damian Kulig","Arged BM Stal Ostrów Wlkp. ","7","15","2.14","20","2.86"
"72","Alan Herndon","Enea Abramczyk Astoria Bydgoszcz ","7","15","2.14","10","1.43"
"73","Klavs Čavars","Enea Abramczyk Astoria Bydgoszcz ","7","15","2.14","18","2.57"
"74","Aaron Cel","Twarde Pierniki Toruń ","7","14","2","14","2"
"75","Paweł Dzierżak","HydroTruck Radom ","8","14","1.75","5","0.63"
"76","Nemanja Nenadić","Enea Zastal BC Zielona Góra ","6","14","2.33","31","5.17"
"77","Filip Kraljević","HydroTruck Radom ","7","14","2","24","3.43"
"78","Jonas Zohore","PGE Spójnia Stargard ","7","14","2","32","4.57"
"79","Branden Frazier","Enea Zastal BC Zielona Góra ","7","14","2","10","1.43"
"80","Devoe Joseph","Enea Zastal BC Zielona Góra ","7","14","2","7","1"
"81","Maciej Bojanowski","Anwil Włocławek ","6","14","2.33","3","0.5"
"82","Jakub Karolak","WKS Śląsk Wrocław ","7","14","2","12","1.71"
"83","Ivan Ramljak","WKS Śląsk Wrocław ","6","14","2.33","11","1.83"
