Lp.,Zawodnik,Drużyna,Mecze,Przechwyty suma,Przechwyty śr
1,Sherron Dorsey-Walker,King Szczecin ,7,19,2.71
2,Mateusz Zębski,Enea Abramczyk Astoria Bydgoszcz ,7,18,2.57
3,Aaron Cel,Twarde Pierniki Toruń ,7,15,2.14
4,Jakub Schenk,King Szczecin ,7,13,1.86
5,Jonah Mathews,Anwil Włocławek ,7,13,1.86
6,Maurice Watson,Twarde Pierniki Toruń ,7,13,1.86
7,Filip Matczak,King Szczecin ,7,12,1.71
8,Kodi Justice,WKS Śląsk Wrocław ,8,11,1.38
9,Nicolas Moore,MKS Dąbrowa Górnicza ,7,11,1.57
10,Michael Moore,HydroTruck Radom ,8,11,1.38
11,Joshua Sharkey,Polski Cukier Pszczółka Start Lublin ,7,11,1.57
12,Raymond Cowels III,Legia Warszawa ,6,11,1.83
13,James Bell,Anwil Włocławek ,7,11,1.57
14,William Garrett,Grupa Sierleccy Czarni Słupsk ,7,11,1.57
15,Trey Drechsel,Arged BM Stal Ostrów Wlkp. ,7,10,1.43
16,Kalif Young,Grupa Sierleccy Czarni Słupsk ,7,10,1.43
17,Paul Jorgensen,Enea Abramczyk Astoria Bydgoszcz ,7,10,1.43
18,Marek Klassen,Grupa Sierleccy Czarni Słupsk ,7,10,1.43
19,Kyndall Dykes,Anwil Włocławek ,7,10,1.43
20,Erick Neal,PGE Spójnia Stargard ,7,10,1.43
21,Nemanja Nenadić,Enea Zastal BC Zielona Góra ,6,9,1.5
22,Mateusz Dziemba,Polski Cukier Pszczółka Start Lublin ,7,9,1.29
23,Bartłomiej Wołoszyn,Asseco Arka Gdynia ,6,9,1.5
24,Mikołaj Witliński,Grupa Sierleccy Czarni Słupsk ,7,9,1.29
25,Daniel Szymkiewicz,PGE Spójnia Stargard ,6,9,1.5
26,Kacper Borowski,King Szczecin ,7,9,1.29
27,Kamil Łączyński,Anwil Włocławek ,7,9,1.29
28,James Palmer Jr.,Arged BM Stal Ostrów Wlkp. ,7,8,1.14
29,Michał Krasuski,Enea Abramczyk Astoria Bydgoszcz ,7,8,1.14
30,Dragan Apić,Enea Zastal BC Zielona Góra ,7,8,1.14
31,Karol Gruszecki,Trefl Sopot ,7,8,1.14
32,Brandon Young,Trefl Sopot ,4,8,2
33,Josip Sobin,MKS Dąbrowa Górnicza ,7,7,1
34,Stacy Davis,King Szczecin ,7,7,1
35,Ivan Ramljak,WKS Śląsk Wrocław ,6,7,1.17
36,Lewis Beech Iii,Grupa Sierleccy Czarni Słupsk ,7,7,1
37,Grzegorz Kamiński,Legia Warszawa ,6,7,1.17
38,David Brembly,Enea Zastal BC Zielona Góra ,7,7,1
