Lp.,Zawodnik,Drużyna,Mecze,Punkty suma,Punkty śr.
1,A.j. English,HydroTruck Radom ,7,153,21.86
2,William Garrett,Grupa Sierleccy Czarni Słupsk ,7,142,20.29
3,Jabarie Hinds,GTK Gliwice ,7,137,19.57
4,Stacy Davis,King Szczecin ,7,127,18.14
5,Michael Moore,HydroTruck Radom ,8,126,15.75
6,Jonah Mathews,Anwil Włocławek ,7,125,17.86
7,Michael Lewis II,MKS Dąbrowa Górnicza ,7,122,17.43
8,Dragan Apić,Enea Zastal BC Zielona Góra ,7,119,17
9,Doron Lamb,Polski Cukier Pszczółka Start Lublin ,7,117,16.71
10,Yannick Franke,Trefl Sopot ,7,117,16.71
11,Maurice Watson,Twarde Pierniki Toruń ,7,116,16.57
12,Muhammad-Ali Abdur-Rahkman,Legia Warszawa ,6,112,18.67
13,Jakub Schenk,King Szczecin ,7,110,15.71
14,Erick Neal,PGE Spójnia Stargard ,7,109,15.57
15,Kyndall Dykes,Anwil Włocławek ,7,108,15.43
16,James Palmer Jr.,Arged BM Stal Ostrów Wlkp. ,7,108,15.43
17,Lewis Beech Iii,Grupa Sierleccy Czarni Słupsk ,7,104,14.86
18,Anthony Ireland,HydroTruck Radom ,7,103,14.71
19,Trevor Thompson ,Twarde Pierniki Toruń ,7,101,14.43
20,Luke Petrasek,Anwil Włocławek ,7,100,14.29
21,Marek Klassen,Grupa Sierleccy Czarni Słupsk ,7,99,14.14
22,Michael Young,Arged BM Stal Ostrów Wlkp. ,7,98,14
23,Roberts Stumbris,GTK Gliwice ,7,98,14
24,Sherron Dorsey-Walker,King Szczecin ,7,96,13.71
25,James Florence,Arged BM Stal Ostrów Wlkp. ,7,96,13.71
26,Cyril Langevine,WKS Śląsk Wrocław ,8,96,12
27,Joshua Sharma,Trefl Sopot ,7,95,13.57
28,Nemanja Nenadić,Enea Zastal BC Zielona Góra ,6,95,15.83
29,Jarosław Zyskowski,Enea Zastal BC Zielona Góra ,7,93,13.29
30,Filip Kraljević,HydroTruck Radom ,7,93,13.29
31,Novak Musić,Asseco Arka Gdynia ,6,93,15.5
32,Aaron Cel,Twarde Pierniki Toruń ,7,92,13.14
33,Justin Gray,PGE Spójnia Stargard ,7,90,12.86
34,Kerem Kanter,WKS Śląsk Wrocław ,8,90,11.25
35,Joshua Sharkey,Polski Cukier Pszczółka Start Lublin ,7,89,12.71
36,James Eads III,Twarde Pierniki Toruń ,7,89,12.71
37,Kodi Justice,WKS Śląsk Wrocław ,8,88,11
38,Bartłomiej Wołoszyn,Asseco Arka Gdynia ,6,85,14.17
39,Matthew Williams,GTK Gliwice ,7,85,12.14
40,Raymond Cowels III,Legia Warszawa ,6,85,14.17
41,Paul Jorgensen,Enea Abramczyk Astoria Bydgoszcz ,7,83,11.86
42,Strahinja Jovanović,WKS Śląsk Wrocław ,8,83,10.38
43,Karol Gruszecki,Trefl Sopot ,7,82,11.71
44,Damian Kulig,Arged BM Stal Ostrów Wlkp. ,7,82,11.71
45,Filip Put,GTK Gliwice ,7,81,11.57
46,Nicolas Moore,MKS Dąbrowa Górnicza ,7,80,11.43
47,Devoe Joseph,Enea Zastal BC Zielona Góra ,7,80,11.43
48,Klavs Čavars,Enea Abramczyk Astoria Bydgoszcz ,7,78,11.14
49,Tweety Carter,Polski Cukier Pszczółka Start Lublin ,7,76,10.86
50,Darious Moten,Trefl Sopot ,7,76,10.86
51,Filip Matczak,King Szczecin ,7,74,10.57
52,Jacobi Boykins,PGE Spójnia Stargard ,6,73,12.17
53,Josip Sobin,MKS Dąbrowa Górnicza ,7,73,10.43
54,Paweł Kikowski,King Szczecin ,7,71,10.14
55,Mateusz Dziemba,Polski Cukier Pszczółka Start Lublin ,7,70,10
56,Jakub Nizioł,Enea Abramczyk Astoria Bydgoszcz ,7,70,10
