Lp.,Zawodnik,Drużyna,Mecze,Celne rzuty wolne suma,Celne rzuty wolne śr.,Oddane rzuty wolne suma,Oddane rzuty wolne śr.,Skuteczność za 1
1,William Garrett,Grupa Sierleccy Czarni Słupsk ,7,43,6.1,54,7.7,79.6
2,Joshua Sharkey,Polski Cukier Pszczółka Start Lublin ,7,34,4.9,45,6.4,75.6
3,Filip Kraljević,HydroTruck Radom ,7,33,4.7,38,5.4,86.8
4,A.j. English,HydroTruck Radom ,7,33,4.7,42,6,78.6
5,Michael Lewis II,MKS Dąbrowa Górnicza ,7,32,4.6,36,5.1,88.9
6,Jabarie Hinds,GTK Gliwice ,7,30,4.3,38,5.4,78.9
7,Doron Lamb,Polski Cukier Pszczółka Start Lublin ,7,27,3.9,29,4.1,93.1
8,James Eads III,Twarde Pierniki Toruń ,7,25,3.6,36,5.1,69.4
9,Jakub Schenk,King Szczecin ,7,24,3.4,27,3.9,88.9
10,Erick Neal,PGE Spójnia Stargard ,7,23,3.3,25,3.6,92
11,Justin Gray,PGE Spójnia Stargard ,7,23,3.3,36,5.1,63.9
12,Strahinja Jovanović,WKS Śląsk Wrocław ,8,23,2.9,25,3.1,92
13,Sherron Dorsey-Walker,King Szczecin ,7,23,3.3,28,4,82.1
14,Dragan Apić,Enea Zastal BC Zielona Góra ,7,23,3.3,39,5.6,59
15,Stacy Davis,King Szczecin ,7,22,3.1,23,3.3,95.7
16,Jakub Nizioł,Enea Abramczyk Astoria Bydgoszcz ,7,22,3.1,29,4.1,75.9
17,Damian Kulig,Arged BM Stal Ostrów Wlkp. ,7,21,3,27,3.9,77.8
18,Trevor Thompson ,Twarde Pierniki Toruń ,7,20,2.9,26,3.7,76.9
19,Lewis Beech Iii,Grupa Sierleccy Czarni Słupsk ,7,20,2.9,25,3.6,80
20,Novak Musić,Asseco Arka Gdynia ,6,19,3.2,26,4.3,73.1
21,Joshua Sharma,Trefl Sopot ,7,19,2.7,24,3.4,79.2
22,Michael Moore,HydroTruck Radom ,8,19,2.4,23,2.9,82.6
23,Jimmie Taylor,Polski Cukier Pszczółka Start Lublin ,7,19,2.7,31,4.4,61.3
24,Nicolas Moore,MKS Dąbrowa Górnicza ,7,19,2.7,19,2.7,100
25,James Palmer Jr.,Arged BM Stal Ostrów Wlkp. ,7,19,2.7,25,3.6,76
26,Muhammad-Ali Abdur-Rahkman,Legia Warszawa ,6,19,3.2,20,3.3,95
27,Anthony Ireland,HydroTruck Radom ,7,18,2.6,21,3,85.7
28,Cyril Langevine,WKS Śląsk Wrocław ,8,18,2.3,31,3.9,58.1
