Lp.,Zawodnik,Drużyna,Mecze,Celne rzuty za 2 suma,Celne rzuty za 2 śr.,Oddane rzuty za 2 suma,Oddane rzuty za 2 śr.,Skuteczność za 2
1,Dragan Apić,Enea Zastal BC Zielona Góra ,7,48,6.9,77,11,62.3
2,Kyndall Dykes,Anwil Włocławek ,7,41,5.9,70,10,58.6
3,Stacy Davis,King Szczecin ,7,39,5.6,74,10.6,52.7
4,Trevor Thompson ,Twarde Pierniki Toruń ,7,39,5.6,77,11,50.6
5,Maurice Watson,Twarde Pierniki Toruń ,7,39,5.6,75,10.7,52
6,Cyril Langevine,WKS Śląsk Wrocław ,8,39,4.9,57,7.1,68.4
7,William Garrett,Grupa Sierleccy Czarni Słupsk ,7,39,5.6,78,11.1,50
8,Doron Lamb,Polski Cukier Pszczółka Start Lublin ,7,36,5.1,59,8.4,61
9,Joshua Sharma,Trefl Sopot ,7,35,5,53,7.6,66
10,Jabarie Hinds,GTK Gliwice ,7,34,4.9,69,9.9,49.3
11,Michael Moore,HydroTruck Radom ,8,34,4.3,64,8,53.1
12,Michael Lewis II,MKS Dąbrowa Górnicza ,7,33,4.7,59,8.4,55.9
13,Klavs Čavars,Enea Abramczyk Astoria Bydgoszcz ,7,32,4.6,58,8.3,55.2
14,Josip Sobin,MKS Dąbrowa Górnicza ,7,32,4.6,54,7.7,59.3
15,Jonah Mathews,Anwil Włocławek ,7,31,4.4,54,7.7,57.4
16,Filip Kraljević,HydroTruck Radom ,7,30,4.3,61,8.7,49.2
17,Muhammad-Ali Abdur-Rahkman,Legia Warszawa ,6,30,5,53,8.8,56.6
18,James Palmer Jr.,Arged BM Stal Ostrów Wlkp. ,7,28,4,47,6.7,59.6
19,Jonas Zohore,PGE Spójnia Stargard ,7,28,4,44,6.3,63.6
20,Jakub Schenk,King Szczecin ,7,28,4,37,5.3,75.7
21,Darious Moten,Trefl Sopot ,7,26,3.7,43,6.1,60.5
22,James Eads III,Twarde Pierniki Toruń ,7,26,3.7,55,7.9,47.3
23,Jimmie Taylor,Polski Cukier Pszczółka Start Lublin ,7,25,3.6,39,5.6,64.1
24,Nemanja Nenadić,Enea Zastal BC Zielona Góra ,6,25,4.2,47,7.8,53.2
25,Aleksander Dziewa,WKS Śląsk Wrocław ,8,25,3.1,32,4,78.1
26,Michael Young,Arged BM Stal Ostrów Wlkp. ,7,25,3.6,50,7.1,50
27,Novak Musić,Asseco Arka Gdynia ,6,25,4.2,41,6.8,61
28,Kavell Bigby-Williams,Anwil Włocławek ,7,24,3.4,39,5.6,61.5
29,Strahinja Jovanović,WKS Śląsk Wrocław ,8,24,3,51,6.4,47.1
30,Filip Matczak,King Szczecin ,7,23,3.3,40,5.7,57.5
31,Adam Ramstedt,GTK Gliwice ,7,23,3.3,28,4,82.1
32,Mikołaj Witliński,Grupa Sierleccy Czarni Słupsk ,7,23,3.3,45,6.4,51.1
33,Karol Gruszecki,Trefl Sopot ,7,23,3.3,34,4.9,67.6
34,Danilo Ostojić,HydroTruck Radom ,8,23,2.9,42,5.3,54.8
35,Paweł Leończyk,Trefl Sopot ,7,22,3.1,39,5.6,56.4
36,Kalif Young,Grupa Sierleccy Czarni Słupsk ,7,22,3.1,36,5.1,61.1
37,Kodi Justice,WKS Śląsk Wrocław ,8,21,2.6,37,4.6,56.8
38,A.j. English,HydroTruck Radom ,7,21,3,40,5.7,52.5
39,Aaron Cel,Twarde Pierniki Toruń ,7,21,3,31,4.4,67.7
40,Luke Petrasek,Anwil Włocławek ,7,21,3,40,5.7,52.5
41,Marek Klassen,Grupa Sierleccy Czarni Słupsk ,7,20,2.9,48,6.9,41.7
42,Joshua Sharkey,Polski Cukier Pszczółka Start Lublin ,7,20,2.9,41,5.9,48.8
43,Justin Gray,PGE Spójnia Stargard ,7,20,2.9,33,4.7,60.6
44,Anthony Ireland,HydroTruck Radom ,7,20,2.9,45,6.4,44.4
45,Mateusz Zębski,Enea Abramczyk Astoria Bydgoszcz ,7,20,2.9,29,4.1,69
46,Sherron Dorsey-Walker,King Szczecin ,7,20,2.9,40,5.7,50
47,Milivoje Mijović,MKS Dąbrowa Górnicza ,7,19,2.7,36,5.1,52.8
48,Jarosław Zyskowski,Enea Zastal BC Zielona Góra ,7,19,2.7,32,4.6,59.4
49,Paul Jorgensen,Enea Abramczyk Astoria Bydgoszcz ,7,19,2.7,43,6.1,44.2
50,Kerem Kanter,WKS Śląsk Wrocław ,8,19,2.4,38,4.8,50
