Lp.,Zawodnik,Drużyna,Mecze,Straty suma,Straty śr.
1,Erick Neal,PGE Spójnia Stargard ,7,27,3.86
2,Jakub Schenk,King Szczecin ,7,26,3.71
3,Joshua Sharkey,Polski Cukier Pszczółka Start Lublin ,7,24,3.43
4,A.j. English,HydroTruck Radom ,7,23,3.29
5,Jabarie Hinds,GTK Gliwice ,7,23,3.29
6,James Florence,Arged BM Stal Ostrów Wlkp. ,7,21,3
7,Marek Klassen,Grupa Sierleccy Czarni Słupsk ,7,20,2.86
8,Dragan Apić,Enea Zastal BC Zielona Góra ,7,20,2.86
9,Maurice Watson,Twarde Pierniki Toruń ,7,20,2.86
10,Anthony Ireland,HydroTruck Radom ,7,19,2.71
11,William Garrett,Grupa Sierleccy Czarni Słupsk ,7,19,2.71
12,Dominykas Domarkas,Enea Abramczyk Astoria Bydgoszcz ,7,19,2.71
13,Filip Matczak,King Szczecin ,7,18,2.57
14,Novak Musić,Asseco Arka Gdynia ,6,18,3
15,Klavs Čavars,Enea Abramczyk Astoria Bydgoszcz ,7,18,2.57
16,Łukasz Kolenda,WKS Śląsk Wrocław ,8,17,2.13
17,Jimmie Taylor,Polski Cukier Pszczółka Start Lublin ,7,17,2.43
18,Jonas Zohore,PGE Spójnia Stargard ,7,17,2.43
19,Trey Drechsel,Arged BM Stal Ostrów Wlkp. ,7,17,2.43
20,Nicolas Moore,MKS Dąbrowa Górnicza ,7,17,2.43
21,Cyril Langevine,WKS Śląsk Wrocław ,8,16,2
22,Doron Lamb,Polski Cukier Pszczółka Start Lublin ,7,15,2.14
23,Danilo Ostojić,HydroTruck Radom ,8,15,1.88
24,Mateusz Zębski,Enea Abramczyk Astoria Bydgoszcz ,7,15,2.14
25,Strahinja Jovanović,WKS Śląsk Wrocław ,8,15,1.88
26,Roberts Stumbris,GTK Gliwice ,7,15,2.14
27,Kyndall Dykes,Anwil Włocławek ,7,14,2
28,Tomasz Śnieg,PGE Spójnia Stargard ,7,14,2
29,Stacy Davis,King Szczecin ,7,14,2
30,Mateusz Kostrzewski,Polski Cukier Pszczółka Start Lublin ,7,14,2
31,Branden Frazier,Enea Zastal BC Zielona Góra ,7,13,1.86
32,Bartłomiej Wołoszyn,Asseco Arka Gdynia ,6,13,2.17
33,Daniel Szymkiewicz,PGE Spójnia Stargard ,6,13,2.17
34,Yannick Franke,Trefl Sopot ,7,13,1.86
35,Jonah Mathews,Anwil Włocławek ,7,13,1.86
36,Filip Kraljević,HydroTruck Radom ,7,13,1.86
37,Michał Kolenda,Trefl Sopot ,7,13,1.86
38,Michael Lewis II,MKS Dąbrowa Górnicza ,7,13,1.86
39,Aleksander Dziewa,WKS Śląsk Wrocław ,8,13,1.63
40,Joshua Sharma,Trefl Sopot ,7,12,1.71
41,Adam Hrycaniuk,Asseco Arka Gdynia ,6,12,2
42,Andrzej Pluta,Enea Abramczyk Astoria Bydgoszcz ,7,12,1.71
43,James Palmer Jr.,Arged BM Stal Ostrów Wlkp. ,7,12,1.71
44,Tweety Carter,Polski Cukier Pszczółka Start Lublin ,7,12,1.71
45,Lewis Beech Iii,Grupa Sierleccy Czarni Słupsk ,7,11,1.57
46,Kavell Bigby-Williams,Anwil Włocławek ,7,11,1.57
