Lp.,Zawodnik,Drużyna,Mecze,Zbiórki w ataku suma,Zbiórki w ataku śr.,Zbiórki w obronie suma,Zbiórki w obronie śr.,Zbiórki suma,Zbiórki śr
1,Klavs Čavars,Enea Abramczyk Astoria Bydgoszcz ,7,29,4.1,34,4.9,63,9
2,Cyril Langevine,WKS Śląsk Wrocław ,8,22,2.8,27,3.4,49,6.13
3,Mikołaj Witliński,Grupa Sierleccy Czarni Słupsk ,7,17,2.4,13,1.9,30,4.29
4,Trevor Thompson ,Twarde Pierniki Toruń ,7,17,2.4,40,5.7,57,8.14
5,Jonas Zohore,PGE Spójnia Stargard ,7,15,2.1,33,4.7,48,6.86
6,Joshua Sharma,Trefl Sopot ,7,14,2,24,3.4,38,5.43
7,Michael Moore,HydroTruck Radom ,8,14,1.8,40,5,54,6.75
8,Nemanja Nenadić,Enea Zastal BC Zielona Góra ,6,14,2.3,23,3.8,37,6.17
9,Denzel Andersson,Arged BM Stal Ostrów Wlkp. ,7,14,2,12,1.7,26,3.71
10,Justin Gray,PGE Spójnia Stargard ,7,13,1.9,28,4,41,5.86
11,Kalif Young,Grupa Sierleccy Czarni Słupsk ,7,13,1.9,16,2.3,29,4.14
12,Dragan Apić,Enea Zastal BC Zielona Góra ,7,13,1.9,36,5.1,49,7
13,Jimmie Taylor,Polski Cukier Pszczółka Start Lublin ,7,13,1.9,36,5.1,49,7
14,Josip Sobin,MKS Dąbrowa Górnicza ,7,13,1.9,22,3.1,35,5
15,James Eads III,Twarde Pierniki Toruń ,7,12,1.7,14,2,26,3.71
16,David Brembly,Enea Zastal BC Zielona Góra ,7,12,1.7,29,4.1,41,5.86
17,Adam Kemp,Legia Warszawa ,6,12,2,18,3,30,5
18,Roberts Stumbris,GTK Gliwice ,7,12,1.7,37,5.3,49,7
19,Kacper Borowski,King Szczecin ,7,12,1.7,21,3,33,4.71
20,Mateusz Bartosz,King Szczecin ,5,12,2.4,19,3.8,31,6.2
21,Stacy Davis,King Szczecin ,7,12,1.7,27,3.9,39,5.57
22,Luke Petrasek,Anwil Włocławek ,7,12,1.7,30,4.3,42,6
23,Adam Hrycaniuk,Asseco Arka Gdynia ,6,11,1.8,23,3.8,34,5.67
24,Filip Kraljević,HydroTruck Radom ,7,11,1.6,31,4.4,42,6
25,Danilo Ostojić,HydroTruck Radom ,8,11,1.4,31,3.9,42,5.25
26,Adam Ramstedt,GTK Gliwice ,7,10,1.4,31,4.4,41,5.86
27,Bartosz Diduszko,Twarde Pierniki Toruń ,7,10,1.4,17,2.4,27,3.86
28,DeAndre Davis,Trefl Sopot ,4,10,2.5,15,3.8,25,6.25
29,Trey Drechsel,Arged BM Stal Ostrów Wlkp. ,7,10,1.4,26,3.7,36,5.14
30,Dariusz Wyka,Legia Warszawa ,6,10,1.7,23,3.8,33,5.5
31,Paweł Leończyk,Trefl Sopot ,7,10,1.4,27,3.9,37,5.29
32,Jarosław Zyskowski,Enea Zastal BC Zielona Góra ,7,10,1.4,17,2.4,27,3.86
33,Ivan Ramljak,WKS Śląsk Wrocław ,6,10,1.7,27,4.5,37,6.17
